,IDI Score
Afghanistan,33.1
Albania,84.7
Algeria,80.9
Andorra,88.8
Angola,49.9
Argentina,83.4
Armenia,86.4
Australia,95.1
Austria,94.3
Azerbaijan,80.4
Bahamas,89.3
Bahrain,97.5
Bangladesh,62
Barbados,77.5
Belarus,88.5
Belgium,89.3
Benin,45.4
Bhutan,85.9
Bolivia (Plurinational State of),69.4
Bosnia and Herzegovina,78.6
Botswana,78.7
Brazil,82
Brunei Darussalam,95.7
Bulgaria,88.7
Burkina Faso,30.1
Burundi,24.4
Cabo Verde,69.1
Cambodia,72.6
Cameroon,44.2
Canada,88.6
Chad,21.3
Chile,91.7
China,85.8
Colombia,73.2
Comoros,46.5
Congo (Rep. of the),30.7
Costa Rica,84.8
Côte d'Ivoire,65.3
Croatia,89.6
Cyprus,88.6
Czech Republic,88
Dem. Rep. of the Congo,31
Denmark,97.1
Djibouti,61.6
Dominica,78.4
Dominican Rep.,75.4
Ecuador,70
Egypt,76.8
El Salvador,66.1
Equatorial Guinea,44.8
Estonia,97.9
Eswatini,70.4
Ethiopia,39.8
Finland,98.1
France,89.8
Gabon,74.7
Georgia,87.8
Germany,87.8
Ghana,66.2
Greece,86.5
Grenada,78.6
Guatemala,51.7
Guinea-Bissau,36.9
Honduras,60.9
"Hong Kong, China",97.4
Hungary,87.4
Iceland,95.9
Indonesia,82.8
Iran (Islamic Republic of),82.2
Iraq,73.9
Ireland,90.7
Israel,92.5
Italy,87.7
Jamaica,76.9
Japan,93.2
Jordan,84.9
Kazakhstan,90.1
Kenya,58.5
Kiribati,52.1
Korea (Rep. of),94.4
Kuwait,100
Kyrgyzstan,88.3
Lao P.D.R.,65.3
Latvia,94.3
Lesotho,48.8
Liberia,37.1
Libya,88.1
Liechtenstein,92.3
Lithuania,94.2
Luxembourg,92.6
"Macao, China",94.1
Madagascar,29.9
Malawi,33.1
Malaysia,95
Maldives,81.5
Mali,40.4
Malta,93.5
Mauritania,55.5
Mauritius,84.2
Mexico,80.7
Moldova,78.3
Monaco,92.6
Mongolia,87
Montenegro,87.9
Morocco,86.8
Mozambique,32
Myanmar,63.8
Namibia,68.8
Netherlands (Kingdom of the),92.5
New Zealand,90.3
Nicaragua,61.6
Nigeria,46.9
North Macedonia,82
Norway,93.4
Oman,91.7
Pakistan,55.6
Palestine,69.3
Panama,77.6
Paraguay,74.1
Peru,76.4
Philippines,74.4
Poland,95.8
Portugal,87.4
Qatar,97.8
Romania,87.6
Russian Federation,90.6
Rwanda,46.8
Saint Kitts and Nevis,84.9
Saint Lucia,73.9
Saint Vincent and the Grenadines,70.7
Samoa,67.8
San Marino,92.7
Sao Tome and Principe,55.9
Saudi Arabia,95.7
Senegal,69.3
Serbia,87.7
Seychelles,84.7
Sierra Leone,34.3
Singapore,97.8
Slovakia,87.1
Slovenia,90.8
Somalia,28.7
South Africa,83.6
Spain,92.5
Sri Lanka,71.3
Suriname,82.5
Sweden,95.3
Switzerland,92.4
Syrian Arab Republic,59.6
Tanzania,43.1
Thailand,91
Timor-Leste,39.2
Togo,46.2
Tonga,58.2
Trinidad and Tobago,78.8
Tunisia,77.2
Türkiye,87.5
Uganda,40.4
Ukraine,81
United Arab Emirates,97.5
United Kingdom,93.6
United States,96.7
Uruguay,89.9
Uzbekistan,84.9
Vanuatu,70.2
Venezuela,67.7
Viet Nam,85
Yemen,43.5
Zambia,55.6
Zimbabwe,47.7
